"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Jill","Bee"," PSYC","4000","May","22","2020","5.0","5.0"
"Jill","Bee"," PSYC","1010","Jun","23","2015","4.0","2.0"
"Jill","Bee"," PSYC","1010","Jun","8","2015","5.0","2.0"
"Jill","Bee"," PSYC","1010","Jan","8","2015","4.5","2.0"
"Jill","Bee"," PSYC","1010","Jan","6","2015","4.5","2.0"
"Jill","Bee"," PSYC","1010","Dec","22","2014","4.5","4.0"
"Jill","Bee"," PSYC","1010","Dec","2","2014","4.5","2.0"
"Jill","Bee"," PSYC","1010","Sep","14","2014","4.5","3.0"
"Jill","Bee"," PSYC","1010","Aug","20","2014","3.5","3.0"
"Jill","Bee"," PSYC","1010","Jun","19","2014","4.5","3.0"
"Jill","Bee"," PSYC","1010","May","2","2014","5.0","2.0"
"Jill","Bee"," PSYC","1010","Apr","24","2014","3.5","4.0"
"Jill","Bee"," PSYC","1010","Apr","8","2014","5.0","2.0"
"Jill","Bee"," PSYC","1010","Apr","4","2014","5.0","2.0"
"Jill","Bee"," PSYC","1010","Apr","4","2014","5.0","2.0"
"Jill","Bee"," PSYC","1010","Apr","2","2014","4.5","3.0"
"Jill","Bee"," PSYC","1010","Feb","27","2014","4.0","4.0"
"Jill","Bee"," PSYC","1010","Dec","26","2013","4.5","3.0"
"Jill","Bee"," PSYC","1010","Dec","8","2013","5.0","2.0"
"Jill","Bee"," PSYC","1010","Sep","9","2013","5.0","1.0"
"Jill","Bee"," PSYC","1010","Jul","27","2013","4.0","5.0"
"Jill","Bee"," PSYC","1010","Jun","3","2013","5.0","1.0"
"Jill","Bee"," PSYC","1010","May","29","2013","3.5","3.0"
"Jill","Bee"," PSYC","1010","Apr","19","2013","5.0","2.0"
"Jill","Bee"," PSYC","1010","Apr","10","2013","5.0","1.0"
"Jill","Bee"," PSYC","1010","Mar","26","2013","3.5","2.0"
"Jill","Bee"," PSYC","1010","Mar","21","2013","5.0","2.0"
"Jill","Bee"," PSYC","1010","Mar","17","2013","4.5","1.0"
"Jill","Bee"," PSYC","1010","Sep","11","2012","5.0","2.0"
"Jill","Bee"," PSYC","1010","Jun","4","2012","5.0","1.0"
"Jill","Bee"," PSYC","1010","Jun","1","2012","5.0","2.0"
"Jill","Bee"," PSYC","1010","Apr","24","2012","4.5","2.0"
"Jill","Bee"," PSYC","1010","Nov","28","2011","4.5","3.0"
"Jill","Bee"," PSYC",NA,"Oct","6","2011","4.0","1.0"
"Jill","Bee"," PSYC","1010","Sep","13","2008","4.5","2.0"
"Jill","Bee"," PSYC","1010","Jul","2","2008","5.0","3.0"
"Jill","Bee"," PSYC","1010","May","2","2008","5.0","2.0"
"Jill","Bee"," PSYC","1010","Apr","28","2008","3.0","4.0"
"Jill","Bee"," PSYC","1010","Apr","27","2008","4.5","3.0"
"Jill","Bee"," PSYC","1010","Apr","25","2008","5.0","2.0"
"Jill","Bee"," PSYC","1010","Apr","17","2008","5.0","2.0"
"Jill","Bee"," PSYC","1010","Apr","8","2008","5.0","1.0"
"Jill","Bee"," PSYC","1010","Mar","27","2008","4.5","3.0"
"Jill","Bee"," PSYC","1010","Mar","20","2008","5.0","3.0"
"Jill","Bee"," PSYC","1010","Jan","31","2008","4.5","1.0"
"Jill","Bee"," PSYC","1010","Jan","2","2008","4.5","4.0"
"Jill","Bee"," PSYC","1010","Dec","8","2007","4.0","2.0"
"Jill","Bee"," PSYC","1010","Dec","2","2007","4.5","2.0"
"Jill","Bee"," PSYC","1010","Nov","6","2007","4.0","3.0"
"Jill","Bee"," PSYC","1010","Oct","22","2007","4.5","4.0"
"Jill","Bee"," PSYC","1010","Jun","25","2007","5.0","1.0"
"Jill","Bee"," PYSC",NA,"Jun","20","2007","4.5","2.0"
"Jill","Bee"," PSYC","1000","May","26","2007","4.5","3.0"
"Jill","Bee"," PSYC",NA,"Mar","30","2007","4.5","3.0"
"Jill","Bee"," PSYC","1010","Dec","13","2006","4.0","2.0"
"Jill","Bee"," PSYC","1010","Dec","13","2006","4.5","3.0"
"Jill","Bee"," PSYC","1000","Dec","12","2006","4.0","2.0"
"Jill","Bee"," PSYC","1010","Dec","1","2006","4.5","1.0"
"Jill","Bee"," PSYC","1010","Nov","26","2006","5.0","2.0"
"Jill","Bee"," PSYC",NA,"Oct","31","2006","4.5","3.0"
"Jill","Bee"," PSYC","1010","Oct","30","2006","4.0","1.0"
"Jill","Bee"," PSYC","1010","Sep","14","2006","4.5","2.0"
"Jill","Bee"," PSYC","1010","Jun","14","2006","5.0","2.0"
"Jill","Bee"," PSYC","1010","Jun","14","2006","5.0","2.0"
"Jill","Bee"," INTR",NA,"Apr","25","2006","5.0","1.0"
"Jill","Bee"," PSYC","1010","Apr","17","2006","4.5","2.0"
"Jill","Bee"," PSYC","1010","Apr","13","2006","5.0","3.0"
"Jill","Bee"," PSYC","1010","Apr","12","2006","5.0","3.0"
"Jill","Bee"," PSYC","1010","Apr","2","2006","5.0","3.0"
"Jill","Bee"," PSYC","1010","Mar","24","2006","5.0","3.0"
"Jill","Bee"," PSYC","1010","Mar","23","2006","4.5","3.0"
"Jill","Bee"," PSYC",NA,"Feb","2","2006","5.0","5.0"
"Jill","Bee"," PSYC","1010","Jan","14","2006","5.0","3.0"
"Jill","Bee"," INTR",NA,"Dec","10","2005","4.0","4.0"
"Jill","Bee"," INTR",NA,"Nov","23","2005","5.0","2.0"
"Jill","Bee"," PYSC",NA,"Nov","19","2005","5.0","3.0"
"Jill","Bee"," PSYC","1010","Oct","30","2005","4.5","3.0"
"Jill","Bee"," PSYC","1010","Oct","27","2005","4.5","2.0"
"Jill","Bee"," INTR",NA,"Oct","26","2005","4.5","3.0"
"Jill","Bee"," PSYC","1010","Oct","15","2005","3.0","3.0"
"Jill","Bee"," 1010",NA,"Jul","26","2005","4.5","4.0"
"Jill","Bee"," PSYC","1010","Jul","6","2005","5.0","2.0"
"Jill","Bee"," PSYC","1010","Jun","15","2005","5.0","4.0"
"Jill","Bee"," PSYC","1010","Jun","6","2005","5.0","1.0"
"Jill","Bee"," PSYC",NA,"May","26","2005","4.0","3.0"
"Jill","Bee"," PSYC","1010","Feb","18","2005","4.5","3.0"
"Jill","Bee"," PSYC","1010","Nov","23","2004","3.5","3.0"
"Jill","Bee"," INTR",NA,"Nov","3","2004","4.5","4.0"
"Jill","Bee"," PSYC","1010","Sep","4","2004","5.0","3.0"
"Jill","Bee"," PSYC","1010","Aug","30","2004","4.0","2.0"
"Jill","Bee"," PSYC","101","Jun","17","2004","5.0","3.0"
"Jill","Bee"," PSYC","1010","Apr","19","2004","5.0","3.0"
"Jill","Bee"," PSYC","1010","Apr","13","2004","4.0","2.0"
"Jill","Bee"," 1010",NA,"Apr","5","2004","3.0","4.0"
"Jill","Bee"," PSYC","1010","Mar","30","2004","4.0","2.0"
"Jill","Bee"," PSYC","1010","Mar","12","2004","2.0","4.0"
"Jill","Bee"," PSYC",NA,"Mar","12","2004","5.0","3.0"
"Jill","Bee"," PSYC","1000","Nov","2","2003","4.0","2.0"
"Jill","Bee"," PSYC","3260","May","18","2002","1.0","1.0"
"Jill","Bee"," COGN",NA,"Apr","19","2002","4.5","1.0"
"Jill","Bee"," PSYC","1010","Apr","6","2002","2.0","3.0"
"Jill","Bee"," 1010",NA,"Mar","20","2002","4.5","2.0"
"Jill","Bee"," PSYC","1010","Mar","11","2002","4.5","3.0"
"Jill","Bee"," 3260",NA,"Feb","6","2002","3.5","4.0"
"Jill","Bee"," PSYC","3260","Feb","5","2002","3.5","4.0"
"Jill","Bee"," 3260",NA,"Jan","23","2002","1.0","4.0"
"Jill","Bee"," 3260",NA,"Dec","19","2001","4.0","5.0"
